Name,City,Attachments,Status,Gender,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Have you completed your higher education in Germany?,Your main technology,Just a few more general questions,Company size,Annual Brutto salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",About you (anonymously),Working hours per week
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,20,9,Head,,Python,"Docker,Terraform,AWS,Python",9,English,No,,,11-50,100000,10000,6000,25,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,11,5,Head,,Python,"SQL,AWS,Docker",4,English,No,,,101-1000,100000,15000,80000,26,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,15,6,Lead,,Python,"Rust,Docker,Azure,AWS",3,"English,German",No,,,11-50,93000,95000,90000,no limit,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,14,6,Senior,,Go,"Java / Scala,Javascript / Typescript,NodeJS,Go,AWS,Docker,Terraform",1,English,No,,,1000+,110000,205000,176367,28,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,20,3,Lead,,JavaScript / Typescript,,1,English,No,,,11-50,90000,90000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,5,1,Middle,,JavaScript / Typescript,"Javascript / Typescript, React,NodeJS",1,English,Yes,,,1000+,56000,56000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,10,1,Lead,,Python," React,NodeJS",2,"Russian,English",Not relevant to me,,,11-50,48000,106000,,10,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,10,2,Lead,,Java,"AWS,Terraform,Docker",,"English,Russian",No,,,1000+,90000,92000,75000,30,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,13,4,Lead,,PHP,"SQL,Docker,Other",4,"English,German,Russian",No,,,11-50,68400,85000,75000,26,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,18,5,Senior,,PHP,"Javascript / Typescript,Docker,Kubernetes,AWS",0,English,No,,,101-1000,73000,73000,65000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,6,2,Senior,,Scala,"Java / Scala,Kubernetes,Docker",1,Russian,No,,,1000+,78000,78000,70000,30,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,11,45,Senior,,JavaScript / Typescript,"Javascript / Typescript, React,NodeJS,Other",1,"English,Russian",No,,,1000+,76000,86000,67000,26,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,11,3,Senior,,C / C++,"Python,C / C++,Docker,Other",1,"English,Russian",No,,,101-1000,78000,90000,65000,30,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,12,6,Lead,,Kotlin,"Javascript / Typescript,NodeJS,AWS,Terraform,Kubernetes,Docker, React,Kotlin",5,"English,German",No,,,101-1000,80000,80000,80000,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,14,6,Lead,,Kotlin,"C# / .NET core,PHP, React,AWS,Docker,Terraform,Kubernetes,Java / Scala",0,English,No,,,1000+,95000,115000,150000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,7,5,Lead,,Ruby,"Java / Scala,AWS,Docker,Ruby",2,"English,Russian",No,,,101-1000,93000,112000,80000,28,,,,,,
,Berlin,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,16,2,Middle,,Other,"Terraform,AWS",0,"English,Russian",No,,,101-1000,55000,55000,44000,26,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,14,6,Lead,,JavaScript / Typescript," React,NodeJS,SQL,AWS,Docker",4,English,No,,,1000+,90000,95000,90000,40,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,9,3,Middle,,JavaScript / Typescript," React,Docker",0,English,No,,,1000+,70000,70000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,7,4,Lead,,Go,"Javascript / Typescript,Angular,Google Cloud,Kubernetes,Docker",4,English,No,,,101-1000,85000,85000,75000,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,8,5,Senior,,Python,"Go,AWS,Google Cloud,Kubernetes,Terraform,Docker",3,"English,Russian",No,,,1000+,102000,120000,85000,28,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,23,6,Lead,,Swift,Kotlin,2,English,No,,,101-1000,97850,97850,95000,28,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,15,5,Senior,,Java,C / C++,3,English,No,,,1000+,150000,300000,250000,30,,,,,,
,Berlin,,,,,Full-time employee,,Designer (UI/UX),,7,3,Senior,,Other,,2,English,No,,,51-100,60000,60000,55000,28,,,,,,
,Berlin,,,,,Part-time employee,,Product Manager,,8,4,Middle,,Other,Other,0,"English,German,Russian",No,Po,,101-1000,5000,58000,42000,28,,,,,,35
,Berlin,,,,,Full-time employee,,Software Engineer,,7,7,Senior,,Java,Javascript / Typescript,1,"German,English",Not relevant to me,,,up to 10,75000,75000,60000,39,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,13,12,Head,,Python,Other,7,"English,German",Yes,,,11-50,70000,135000,70000,30,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,9,3,Senior,,Python,"C / C++,Docker,Other",3,English,No,,,51-100,73000,73000,68000,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,12,4,Lead,,Java,"Kotlin,Java / Scala,Kubernetes,Docker,Go",1,"English,Russian",No,,,101-1000,115000,118000,,33,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,13,0,Senior,,Python,"Python,SQL,Google Cloud,Docker",0,English,No,,,1000+,75000,0,,28,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,9,0,Lead,,Java,"Kotlin,Javascript / Typescript,Python,AWS,Terraform,Docker",0,"English,Russian",No,,,101-1000,95000,100000,,,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,13,3,Lead,,JavaScript / Typescript,"Angular,PHP",3,"English,Russian",No,,,101-1000,84600,86000,75600,25,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,6,3,Middle,,Swift,AWS,1,English,No,,,1000+,87000,120000,680000,28,,,,,,
,Berlin,,,,,Full-time employee,,Other,Test Automation Engineer,6,1,Senior,,JavaScript / Typescript,"AWS,Docker",0,English,No,,,101-1000,54000,54000,,30,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,60000,3,Senior,,Python,"Python,Kotlin,C / C++,PHP,Swift,Javascript / Typescript,Ruby,SAP / ABAP,AWS,Azure,Kubernetes,Terraform,Docker",3,English,Yes,,,11-50,60000,60000,,21,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,13,13,Senior,,Java,"Javascript / Typescript,Angular,SQL, React",4,German,Yes,,,101-1000,71500,71500,70000,30,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,4,4,Middle,,JavaScript / Typescript,"Javascript / Typescript,Ruby,SQL,Other",4,English,No,,,101-1000,55000,55000,47000,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,18,2,Senior,,PHP,"SQL,Kubernetes,Docker",0,English,No,,,51-100,80000,80000,60000,27,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,15,7,Middle,,JavaScript / Typescript,"NodeJS,Python,Docker,SQL,Other",5,"English,German,Russian",No,,,1000+,77000,77000,75000,30,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,2,2,Middle,,Other,R,1,"English,German",Yes,SAS,,1000+,55000,55000,50000,30,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,75300,5,Middle,,Swift,Ruby,3,English,No,,,101-1000,65300,75300,67000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,5,Senior,,JavaScript / Typescript,"Angular, React,NodeJS,SQL,Docker,Terraform,AWS",0,English,No,,,101-1000,81000,93000,77000,30,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,16,10,Senior,,Other,Other,0,"English,German,Russian",No,,,1000+,95000,100000,90000,27,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,10,5,Lead,,Scala,"Docker,AWS,Kubernetes,Java / Scala",5,English,No,,,1000+,93000,118000,110000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software / Solutions Architect,,20,10,Lead,,Java,"Java / Scala,AWS,Google Cloud,Azure,Terraform,Docker,Python",0,"English,German",No,,,101-1000,115000,125000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,7,2,Senior,,Java,"Java / Scala,Kotlin",1,Russian,No,,,101-1000,80000,80000,80000,28,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,10,6,Lead,,Other,"Kubernetes,Terraform,AWS,Docker,Google Cloud",2,English,No,Kubernetes,,101-1000,90000,90000,90000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,30,3,Lead,,C / C++,"C / C++,PHP,Javascript / Typescript,SQL",3,"German,Russian",No,,,11-50,37200,37200,28800,25,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,7,5,Lead,,Python,"R,Google Cloud,Docker",2,English,Yes,,,1000+,92000,180000,150000,365,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,10,5,Lead,,Other,,2,English,No,,,1000+,123000,430000,330000,25,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,11,3,Lead,,JavaScript / Typescript,"Python,NodeJS,Google Cloud,Docker,Terraform",3,English,No,,,11-50,68000,68000,60000,24,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,11,6,Middle,,Python,,1,English,No,,,1000+,60000,81750,81750,28,,,,,,
,Berlin,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,20,7,Middle,,Bash,"Python,Other,Docker",2,"English,Russian",No,,,101-1000,72720,73120,72720,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,7,3,Senior,,Go,"PHP,AWS,Kubernetes,Terraform,Docker,Azure,Google Cloud",0,English,No,,,1000+,68900,68900,61000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,9,3,Senior,,JavaScript / Typescript,"Javascript / Typescript, React,NodeJS,AWS,Terraform,Docker",1,English,Yes,,,1000+,75000,75000,75000,30,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,20,5,Middle,,Python,"SQL,PHP,Python",1,"Russian,German,English",No,,,51-100,50000,50000,,26,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,14,2,Middle,,SQL,"Python,Java / Scala,Google Cloud,Docker",2,English,No,,,101-1000,76000,87000,70000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,6,0,Middle,,Go,"Ruby,PHP",0,English,No,,,1000+,70000,70000,,24,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,20,4,Head,,Java,"Java / Scala,Javascript / Typescript, React,NodeJS",0,English,No,,,51-100,120000,120000,95000,24,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,15,0,Senior,,JavaScript / Typescript," React,NodeJS,AWS",0,English,No,,,1000+,86000,120000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,10,5,Lead,,Java,"Python,Go,Kubernetes,Terraform,Docker,AWS",3,English,No,,,101-1000,95000,102000,80000,28,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,8,3,Head,,SQL,,3,"English,German,Russian",No,,,101-1000,75000,75000,60000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,20,8,Senior,,Java,Java / Scala,0,English,No,,,1000+,92000,92000,85000,27,,,,,,
,Berlin,,,,,Full-time employee,,Software / Solutions Architect,,6,2,Senior,,Python,"Python,Java / Scala,AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker,Other",1,"English,Russian",No,,,1000+,120000,160000,100000,28,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,15,6,Senior,,Python,"Python,Go,Perl,AWS,Kubernetes,Terraform,Docker,Other",0,English,No,,,101-1000,90000,94000,68000,26,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,1,Senior,,PHP,"Docker,Terraform,AWS,Javascript / Typescript,Go",0,"Russian,English",No,,,1000+,70000,70000,,30,,,,,,
,Berlin,,,,,Self-employed (freelancer),,Other,SAP Consultant,12,6,Senior,,SAP / ABAP,"Azure,SQL,Google Cloud",1,"English,German,Russian",No,,,1000+,,,,,85,1600,60,0,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,4,2,Senior,,JavaScript / Typescript,"Python,NodeJS,Angular, React,Docker",1,"English,Russian",No,,,51-100,62000,65000,55000,25,,,,,,
,Berlin,,,,,Full-time employee,,ML Engineer,,12,4,Lead,,Scala,"Java / Scala,Python,AWS,Kubernetes,Terraform,Docker",5,"English,German,Russian",No,,,11-50,150000,150000,100000,30,,,,,,
,Berlin,,,,,Working student,,Other,QA Working student,2,2,Other,Intern,Java,"Docker,AWS,Javascript / Typescript",0,English,Yes,,,51-100,16200,0,12480,,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,15,6,Head,,Other,,2,English,No,,,101-1000,93000,93000,85000,30,,,,,,
,Berlin,,,,,Part-time employee,,Other,Technical Support,13,15,Senior,,Other,,13,"English,German",Yes,,,1000+,48000,300,,30,,,,,,30
,Berlin,,,,,Full-time employee,,Frontend Developer,,3,3,Middle,,JavaScript / Typescript, React,1,"English,Russian",No,,,101-1000,58000,59000,58000,30,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,4,0,Senior,,Python,"Java / Scala,Docker,Google Cloud",0,"English,Russian",No,,,1000+,95000,107500,37000,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,14,2,Senior,,Go,"Python,Ruby,Other",1,"English,Russian",No,,,101-1000,85000,90000,85000,100,,,,,,
,Berlin,,,,,Full-time employee,,ML Engineer,,8,0,Senior,,Python,"Java / Scala,Docker,Google Cloud,Kubernetes,Terraform",0,English,No,,,1000+,80000,80000,,20,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,8,1,Middle,,Swift,,1,"English,Russian",No,,,1000+,72000,72000,68000,27,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,14,7,Senior,,C# / .NET,"Go,SQL,AWS,Docker,Terraform",2,English,No,,,1000+,78000,85000,80000,28,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,5,4,Senior,,JavaScript / Typescript, React,4,"English,German",No,,,11-50,36000,36000,,25,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,4,1,Middle,,Kotlin,Other,1,English,No,,,1000+,75000,75000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,15,Senior,,Java,"Azure,Kubernetes,Terraform,Docker,SQL,Javascript / Typescript,Other",3,German,Yes,,,101-1000,79500,85860,85000,30,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,9,1,Middle,,Other,"Python,SQL,AWS,Kubernetes,Terraform,Docker",1,"English,Russian",No,AWS,,101-1000,62000,65000,,28,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,10,1,Lead,,Java,Javascript / Typescript,1,"English,Russian",No,,,1000+,65000,65000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,10,2,Head,,Other,Other,2,"English,German",No,,,101-1000,125000,165000,84000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,5,Senior,,Rust,"Python,Java / Scala,SQL,PHP,Javascript / Typescript,Kubernetes,Docker",4,English,No,,,1000+,63000,63000,63000,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,14,4,Other,,Other,"Python,Go,Google Cloud,Kubernetes,Terraform,Docker,AWS",2,English,No,,,101-1000,112000,112000,110000,26,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,6,Senior,,JavaScript / Typescript,NodeJS,0,English,No,,,51-100,82500,82500,,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,8,0,Senior,,Go,"Python,SQL,AWS,Google Cloud,Kubernetes,Terraform,Docker",1,English,Not relevant to me,,,11-50,72000,0,0,0,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,9,5,Middle,,Other,"Kubernetes,Docker,Ruby,Python",4,English,No,Elixir,,101-1000,80000,90000,73000,31,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,15,8,Head,,JavaScript / Typescript,"Python,PHP, React,NodeJS,SQL,Go,AWS,Google Cloud,Kubernetes,Docker",3,English,No,,,11-50,90000,0,82000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,16,9,Senior,,Python,,0,English,No,,,101-1000,101000,121000,90000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,10,Senior,,Java,,,"English,German,Russian",Yes,,,1000+,74000,74000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Software / Solutions Architect,,8,2,Lead,,Java,"Java / Scala,Azure,Docker,Terraform",0,English,No,,,1000+,86000,115000,85000,30,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,4,3,Lead,,Python,"SQL,AWS,Terraform,Docker",2,English,No,,,101-1000,80,84,,30,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,7,1,Middle,,Other,SQL,1,"English,Russian",No,,,101-1000,47000,47000,,25,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,8,3,Senior,,JavaScript / Typescript,"Google Cloud,Docker,Other",3,"English,German",No,,,101-1000,65000,65000,60000,25,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,7,3,Lead,,Scala,"Java / Scala,Google Cloud",2,English,No,,,101-1000,74000,85000,70400,28,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,9,2,Senior,,C# / .NET,"Java / Scala,Javascript / Typescript,.NET,SQL,Docker",2,English,No,,,101-1000,64000,70000,70000,25,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,8,5,Head,,PHP,"Javascript / Typescript,Go,Terraform,Docker,AWS,SQL",3,English,No,,,11-50,92000,92000,82000,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,12,1,Lead,,Other,"Python,C# / .NET core,Javascript / Typescript, React,Go,Google Cloud,AWS,Azure,Terraform,Docker,Kubernetes",1,"English,German",No,ITSM,,101-1000,85000,90000,85000,30,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,14,6,Senior,,Python,"Python,Java / Scala,Kubernetes,Terraform,Docker,AWS",0,English,No,,,1000+,80000,80000,85000,26,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,4,0,Middle,,JavaScript / Typescript,,0,"English,Russian",No,,,1000+,80000,90000,,29,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,4,Senior,,PHP,,4,English,No,,,1000+,72000,90000,66000,25,,,,,,
,Berlin,,,,,Full-time employee,,Other,Project manager,15,3,Middle,,Other,Python,2,English,No,,,1000+,65000,65000,64000,30,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,8,3,Middle,,JavaScript / Typescript,,3,"English,Russian",No,,,11-50,63000,63000,54000,24,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,15,2,Middle,,Python,"Javascript / Typescript,NodeJS,Kubernetes,Docker",2,English,No,,,101-1000,62000,62000,,30,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,7,4,Lead,,Other,"Python,AWS,Kubernetes,Terraform,Docker",1,English,No,Kubernetes,,101-1000,82000,97000,83000,27,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,5,5,Middle,,Other,,1,"English,German,Russian",No,,,101-1000,55000,55000,30000,28,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,7,3,Senior,,Kotlin,Java / Scala,2,"English,German",No,,,1000+,72000,0,66000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,7,7,Middle,,JavaScript / Typescript,"Javascript / Typescript,Azure,Docker",0,"English,German",No,,,1000+,64000,71800,68000,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,10,10,Senior,,Java,"Javascript / Typescript,AWS,Terraform",3,German,Yes,,,1000+,70000,75000,67000,30,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,1,1,Junior,,Python,"SQL,AWS",1,"English,Russian",Yes,,,1000+,60000,66000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,8,3,Senior,,Python,"C / C++,Docker",1,"English,Russian",No,,,11-50,72000,72000,65000,27,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,7,3,Senior,,Java,"Javascript / Typescript,Angular,SQL,AWS,Docker,Python",2,English,No,,,51-100,75000,80000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,8,4,Lead,,Swift,,0,English,No,,,11-50,70000,10000,80000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,9,1,Senior,,Other,,2,English,No,elixir,,101-1000,79000,80000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,5,1,Middle,,JavaScript / Typescript,Other,1,"English,Russian",No,,,51-100,60000,60000,54000,24,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,11,3,Senior,,Python,,0,English,No,,,1000+,120000,120000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,10,10,Lead,,Other,"Python,SQL,Docker",1,"English,German",No,Elixir,,1000+,120000,140000,95000,30,,,,,,
,Berlin,,,,,Full-time employee,,ML Engineer,,4,0,Middle,,Python,"Java / Scala,AWS,Docker",0,English,No,,,1000+,75000,75480,,27,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,12,3,Lead,,PHP,"Docker,Google Cloud,SQL",0,English,No,,,1000+,85000,88000,60000,28,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,7,4,Senior,,Python,"Go,Kubernetes,Terraform,Docker",4,"English,Russian",No,,,101-1000,87500,88500,85000,30,,,,,,
